"Reference","Qty","Part number","Value","Manufacturer","Package","Rated power","Resistance","Tolerance","Type","Voltage","Drift"
"U9","1","TLE42662GSV33HTMA2","TLE42662GSV33HTMA2","Infineon","SOT-223","","","","","",""
"U8","1","TPS7B6950QDCYRQ1","TPS7B6950QDCYRQ1","Texas Instruments","SOT-223","","","","","",""
"U7","1","TLV314IDBVR","TLV314IDBVR","Texas Instruments","SOT-23-5","","","","","",""
"U6","1","TLV3201AIDBVR","TLV3201AIDBVR","Texas Instruments","SOT-23-5","","","","","",""
"U4","1","MCP6004-I/SL","MCP6004-I/SL","Microchip","SOIC-14","","","","","",""
"U3","1","INA188ID","INA188ID","Texas Instruments","SOIC-8","","","","","",""
"U2","1","OPA2320AID","OPA2320AID","Texas Instruments","SOIC-8","","","","","",""
"U1,U5","2","TS5A3159DBVR","TS5A3159DBVR","Texas Instruments","SOT-23-6","","","","","",""
"R27,R30,R35,R40","4","CRCW06030000Z0EA","0R","Vishay","0603","NA","","0%","","","0ppm/K"
"R24","1","CRCW0805100RFKEA","100R","Vishay","0805","0.25W","","1%","","","100ppm/K"
"R5,R6,R20,R33,R39","5","MCT06030C1103FP500","110K","Vishay","0603","0.1W","","1%","","","50ppm/K"
"R3,R4,R13,R14,R15,R22,R28,R29,R31,R32,R34,R37,R38","13","MCT06030C1201FP500","1.2K","Vishay","0603","0.1W","","1%","","","50ppm/K"
"R1,R2,R7,R8,R9,R10,R11,R12,R16,R17,R18,R19,R21,R23,R25,R26,R36","17","MCT06030C1002FP500","10K","Vishay","0603","0.1W","","1%","","","50ppm/K"
"PCB1","1","20260502","PCB_SILKSCREEN","AISLER","NA","","","","","",""
"L1","1","22R225C","2.2m","Murata","NA","","","10%","","",""
"J5,J6","2","YO0201500000G","YO0201500000G","Amphenol Anytek","NA","","","","","",""
"FB5,FB6,FB7","3","74279204","74279204","Würth","0805","","0.35R @DC","","","",""
"FB1,FB2,FB3,FB4","4","BLM18AG102BH1D","BLM18AG102BH1D","Murata","0805","","0.5R @DC","","","",""
"D2","1","SBAS16LT1G","SBAS16LT1G","onsemi","SOT-23","","","","","",""
"D1","1","BAS40-04","BAS40-04","Infineon","SOT-23","","","","","",""
"C36,C37","2","GCM219R71C105KA37","1u","Murata","0805","","","10%","X7R","16V",""
"C27,C28","2","GCM32EC7YA106KA03","10u","Murata","1210","","","10%","X7S","35V",""
"C2,C3,C4,C5,C7,C9,C11,C12,C18,C19,C21,C22,C24,C26,C29,C30,C35","17","GCM1885C1J222JA16D","2.2n","Murata","0603","","","5%","C0G","63V",""
"C1,C6,C8,C10,C13,C14,C15,C16,C17,C20,C23,C25,C31,C32,C33,C34","16","06033C104K4T4A","100n","Kyocera AVX","0603","","","10%","X7R","25V",""
